iter	RMSE
358	37.34876179
359	37.30425526
360	37.2538566
361	37.22372243
362	37.19545301
363	37.17981895
364	37.16719224
365	37.14726725
366	37.11851936
367	37.06972424
368	37.03430513
369	37.01508964
370	37.00158807
371	36.97143473
372	36.9277511
373	36.8641944
374	36.83150964
375	36.80666073
376	36.78197999
377	36.75450641
378	36.73160173
379	36.69313296
380	36.65751363
381	36.64171773
382	36.62250435
383	36.61034484
384	36.59092019
385	36.54593477
386	36.51560726
387	36.49053199
388	36.4605147
389	36.43197237
390	36.42149291
391	36.40652218
392	36.37235283
393	36.35549853
394	36.34769473
395	36.33882799
396	36.30954403
397	36.28943064
398	36.25839441
399	36.21946852
400	36.18976945
401	36.1314538
402	36.11728754
403	36.0830786
404	36.07022004
405	36.06263761
406	36.04704469
407	36.02752745
408	36.01399404
409	35.99106807
410	35.95900352
411	35.94917613
412	35.9135952
413	35.89843826
414	35.8735778
415	35.83676062
416	35.81013037
417	35.75334917
418	35.73964195
419	35.71194039
420	35.69218719
421	35.68420969
422	35.65512582
423	35.62638947
424	35.59808458
425	35.56271817
426	35.54312236
427	35.54022073
428	35.52965646
429	35.52187091
430	35.51019355
431	35.46204973
432	35.41824335
433	35.38083044
434	35.30808364
435	35.28941512
436	35.28598589
437	35.24391433
438	35.22870688
439	35.19572703
440	35.17926487
441	35.15591606
442	35.13436587
443	35.11646901
444	35.09568643
445	35.05177134
446	35.03335582
447	35.0263432
448	35.01093082
449	34.96556537
450	34.95944784
451	34.95309771
452	34.94372987
453	34.93129827
454	34.92651841
455	34.88948683
456	34.86936239
457	34.85942159
458	34.8416929
459	34.82734165
460	34.79797975
461	34.76916101
462	34.75112998
463	34.72805312
464	34.70664578
465	34.65796704
466	34.6522214
467	34.59869449
468	34.55486672
469	34.55052891
470	34.51386994
471	34.47160952
472	34.4599722
473	34.42255177
474	34.41152391
475	34.38982106
476	34.34151196
477	34.33593142
478	34.31537028
479	34.29073317
480	34.28939825
481	34.25256431
482	34.21577811
483	34.17771791
484	34.16615534
485	34.12821352
486	34.10827016
487	34.09442665
488	34.05637737
489	34.0445454
490	34.03628039
491	34.01457672
492	34.00989172
493	34.00454982
494	33.99721337
495	33.977828
496	33.96968364
497	33.95774985
498	33.95662349
499	33.93981051
500	33.92302284
501	33.9114345
502	33.88134745
503	33.84486621
504	33.83290311
505	33.79924738
506	33.78795908
507	33.7562405
508	33.72211227
509	33.71149713
510	33.68898207
511	33.67873334
512	33.66076117
513	33.6487126
514	33.62205425
515	33.61889782
516	33.59116545
517	33.59114407
518	33.57460871
519	33.56522641
520	33.55896552
521	33.54405494
522	33.53047228
523	33.51291219
524	33.50171717
525	33.49368753
526	33.45718407
527	33.45281721
528	33.44883779
529	33.4181168
530	33.40868389
531	33.38993503
532	33.37742395
533	33.37727436
534	33.36711419
535	33.35527977
536	33.34373027
537	33.32943096
538	33.31708558
539	33.3170684
540	33.29222751
541	33.28319937
542	33.27968449
543	33.25864572
544	33.24618189
545	33.2383903
546	33.23299878
547	33.20281949
548	33.18937514
549	33.1649666
550	33.16270049
551	33.13005327
552	33.10500136
553	33.09681328
554	33.07537217
555	33.06820736
556	33.05087014
557	33.03998948
558	33.03084516
559	33.01179681
560	33.00535976
561	32.99207105
562	32.98094583
563	32.95583282
564	32.9276169
565	32.91893662
566	32.91006075
567	32.89911764
568	32.88959977
569	32.88042274
570	32.87595013
571	32.87092941
572	32.86394232
573	32.85162639
574	32.81561407
575	32.80982103
576	32.79756163
577	32.78256836
578	32.7748556
579	32.75341572
580	32.75095963
581	32.74464396
582	32.73223026
583	32.72376707
584	32.71375517
585	32.68602957
586	32.65127793
587	32.63884425
588	32.62274186
589	32.61240002
590	32.60861393
591	32.59949242
592	32.58945036
593	32.58749181
594	32.57846488
595	32.56500375
596	32.55060733
597	32.54108858
598	32.54069462
599	32.5130461
600	32.49142935
601	32.47389772
602	32.47146314
603	32.46237392
604	32.46224217
605	32.44958725
606	32.43598936
607	32.42490264
608	32.41127347
609	32.40762471
610	32.39887051
611	32.38726169
612	32.363474
613	32.36133529
614	32.34800545
615	32.31986947
616	32.31082467
617	32.30461196
618	32.2734621
619	32.26263903
620	32.24266899
621	32.23242785
622	32.21193267
623	32.19872133
624	32.18368715
625	32.17458009
626	32.17016896
627	32.16144028
628	32.15093298
629	32.14896318
630	32.1360245
631	32.13529043
632	32.13184379
633	32.1024767
634	32.08097587
635	32.07682302
636	32.07143537
637	32.05987185
638	32.05099137
639	32.03801348
640	32.00749017
641	31.9917981
642	31.98543145
643	31.97758
644	31.96654885
645	31.94744982
646	31.93725261
647	31.91898633
648	31.91348759
649	31.89532591
650	31.88531083
651	31.8830611
652	31.86758421
653	31.8614715
654	31.85441456
655	31.84600418
656	31.82827801
657	31.78041397
658	31.7720891
659	31.7398979
660	31.72598364
661	31.71553505
662	31.70155605
663	31.69481526
664	31.67276348
665	31.66133765
666	31.65200713
667	31.646038
668	31.63592827
669	31.63151686
670	31.62654275
671	31.6192964
672	31.61634779
673	31.60864262
674	31.60712995
675	31.57367021
676	31.5608191
677	31.55438541
678	31.51895021
679	31.51388193
680	31.50470968
681	31.50061011
682	31.49380281
683	31.49043827
684	31.47400007
685	31.46844605
686	31.46286077
687	31.44973156
688	31.44130509
689	31.44115898
690	31.43209182
691	31.41803273
692	31.40609343
693	31.40095994
694	31.38956974
695	31.38626034
696	31.36422791
697	31.35521937
698	31.3513012
699	31.34382666
700	31.31510921
701	31.29287212
702	31.27633961
703	31.26683098
704	31.26283545
705	31.25516021
706	31.24466993
707	31.23692461
708	31.22752708
709	31.21802306
710	31.2163761
711	31.20689204
712	31.19538709
713	31.18092741
714	31.15563988
715	31.13962316
716	31.1285768
717	31.11981088
718	31.11448497
719	31.08078392
720	31.07764108
721	31.07751623
722	31.07263753
723	31.04681037
724	31.03690302
725	31.02588993
726	31.01259986
727	30.99736736
728	30.99195195
729	30.98185562
730	30.96866577
731	30.96176285
732	30.95264976
733	30.94748524
734	30.94675644
735	30.93891612
736	30.92887291
737	30.92347349
738	30.90910296
739	30.89738631
740	30.88316529
741	30.87451339
742	30.86942278
743	30.86821963
744	30.85433668
745	30.84955283
746	30.84151918
747	30.82601591
748	30.82488861
749	30.82065398
750	30.81457178
751	30.77400136
752	30.76841571
753	30.75503709
754	30.7488709
755	30.74462099
756	30.7390971
757	30.73802785
758	30.72996177
759	30.72379509
760	30.7212305
761	30.7168661
762	30.69225408
763	30.68324678
764	30.68049548
765	30.66886263
766	30.66482134
767	30.65575857
768	30.65320363
769	30.6382915
770	30.61500079
771	30.60176834
772	30.58010724
773	30.57543778
774	30.56486785
775	30.55009806
776	30.54397432
777	30.53004425
778	30.52306396
779	30.52065913
780	30.51375714
781	30.50594282
782	30.49131183
783	30.48107261
784	30.47827489
785	30.45585635
786	30.43116384
787	30.42311257
788	30.41069087
789	30.38707207
790	30.37905262
791	30.37132463
792	30.36549611
793	30.35669656
794	30.3511148
795	30.34848187
796	30.34527258
797	30.34399371
798	30.34064976
799	30.32295344
800	30.32216825
801	30.30525223
802	30.29773467
803	30.28908602
804	30.27943371
805	30.26942479
806	30.260536
807	30.24566451
808	30.23431849
809	30.22818915
810	30.22380174
811	30.22006107
812	30.21378407
813	30.20574925
814	30.19078347
815	30.18198781
816	30.17770316
817	30.15041026
818	30.14896574
819	30.1428204
820	30.14178787
821	30.12178747
822	30.11342119
823	30.10626046
824	30.10625156
825	30.10624318
826	30.09782698
827	30.07894945
828	30.07561652
829	30.07145773
830	30.07144985
831	30.06002026
832	30.05566908
833	30.05101453
834	30.03662098
835	30.02746799
836	30.02293132
837	30.00673489
838	29.99659143
839	29.99243982
840	29.98276
841	29.97831711
842	29.96264631
843	29.95373615
844	29.93670648
845	29.93139413
846	29.90098294
847	29.90086473
848	29.89768638
849	29.89266057
850	29.88365089
851	29.87989585
852	29.87060808
853	29.87060356
854	29.86821611
855	29.86171589
856	29.84762963
857	29.83858972
858	29.82835703
859	29.82313711
860	29.81051982
861	29.80853369
862	29.79441646
863	29.77411867
864	29.77081765
865	29.76673593
866	29.76305854
867	29.75962094
868	29.74205432
869	29.74038026
870	29.72519488
871	29.7185877
872	29.71573008
873	29.71460544
874	29.7142383
875	29.7053312
876	29.69851563
877	29.69348281
878	29.68250744
879	29.67893203
880	29.67542336
881	29.67074161
882	29.65785031
883	29.65343767
884	29.63075911
885	29.62712211
886	29.61807575
887	29.60691853
888	29.60380058
889	29.59324303
890	29.58718224
891	29.56591946
892	29.55747918
893	29.52037435
894	29.50818033
895	29.49988014
896	29.4945277
897	29.48922935
898	29.4884449
899	29.47254624
900	29.45822889
901	29.44420197
902	29.40683931
903	29.40367479
904	29.3969203
905	29.37482677
906	29.36471429
907	29.35462118
908	29.34725142
909	29.33280753
910	29.32663677
911	29.30911817
912	29.30342353
913	29.29009465
914	29.27980096
915	29.27620402
916	29.27388859
917	29.25959496
918	29.24562421
919	29.24100915
920	29.22707214
921	29.2224196
922	29.21466554
923	29.20117076
924	29.19467369
925	29.18990981
926	29.18780054
927	29.18185782
928	29.17067285
929	29.16011212
930	29.13726041
931	29.12811634
932	29.11816697
933	29.10785145
934	29.10415509
935	29.09976147
936	29.08053302
937	29.0774016
938	29.07002555
939	29.06460797
940	29.06115767
941	29.04352916
942	29.04264968
943	29.03887071
944	29.03227414
945	29.02299738
946	29.01801439
947	29.01433522
948	28.99339002
949	28.99036435
950	28.98617639
951	28.97861861
952	28.97590822
953	28.9708782
954	28.95703518
955	28.95492296
956	28.94095049
957	28.93829916
958	28.93194108
959	28.91923849
960	28.90584715
961	28.90283127
962	28.88359561
963	28.87532575
964	28.86583873
965	28.85130377
966	28.84454277
967	28.84072382
968	28.83089393
969	28.82047806
970	28.81075776
971	28.80752204
972	28.80092652
973	28.78543388
974	28.77472907
975	28.77188868
976	28.76498521
977	28.74422466
978	28.73807481
979	28.73361181
980	28.72988054
981	28.7090291
982	28.70097766
983	28.68811123
984	28.68481288
985	28.67740279
986	28.66510061
987	28.66421436
988	28.65624357
989	28.65172984
990	28.6414479
991	28.63752254
992	28.63329633
993	28.62856915
994	28.61352165
995	28.60107507
996	28.58902797
997	28.58247321
998	28.5780746
999	28.57519661
